id,package_ecosystem,package_name,github_repo
GHSA-mmjf-f5jw-w72q,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-j42v-6wpm-r847,crates.io,thex,https://github.com/krl/thex
GHSA-v666-6w97-pcwm,crates.io,ckb,https://github.com/nervosnetwork/ckb
GHSA-7cqg-8449-rmfv,crates.io,libsecp256k1-rs,https://github.com/tari-labs/libsecp256k1-rs/
GHSA-pfjq-935c-4895,crates.io,v9,https://github.com/purpleposeidon/v9
GHSA-jh37-772x-4hpw,crates.io,algorithmica,https://github.com/AbrarNitk/algorithmica
GHSA-8hfj-xrj2-pm22,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-vq23-5h4f-vwpv,crates.io,abi_stable,https://github.com/rodrimati1992/abi_stable_crates/
GHSA-6rhx-hqxm-8p36,crates.io,http,https://github.com/hyperium/http
GHSA-gq4h-f254-7cw9,crates.io,ticketed_lock,https://github.com/kvark/ticketed_lock/
GHSA-jq65-29v4-4x35,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-45p7-c959-rgcm,crates.io,ckb,https://github.com/nervosnetwork/ckb
GHSA-48vq-8jqv-gm6f,crates.io,ckb,https://github.com/nervosnetwork/ckb
GHSA-9xjr-m6f3-v5wm,crates.io,hyper,https://github.com/hyperium/hyper
GHSA-w5cr-frph-hw7f,crates.io,rkyv,https://github.com/rkyv/rkyv
GHSA-wqxc-qrq4-w5v4,crates.io,abi_stable,https://github.com/rodrimati1992/abi_stable_crates/
GHSA-q9wj-f4qw-6vfj,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-638m-m8mh-7gw2,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-g323-fr93-4j3c,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-5ww6-px42-wc85,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-mfm6-r9g2-q4r7,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-x3mh-jvjw-3xwx,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-2gg5-7c4v-6xx2,crates.io,axum-core,https://github.com/tokio-rs/axum
GHSA-9q5j-jm53-v7vr,crates.io,lz4-sys,https://github.com/10xGenomics/lz4-rs
GHSA-735f-pg76-fxc4,crates.io,openssl-src,https://github.com/alexcrichton/openssl-src-rs
GHSA-67hm-27mx-9cg7,crates.io,deno,https://github.com/denoland/deno
GHSA-jq66-xh47-j9f3,crates.io,streebog,https://github.com/RustCrypto/hashes
GHSA-r67p-m7g9-gxw6,crates.io,csv-sniffer,https://github.com/jblondin/csv-sniffer
GHSA-9qvw-46gf-4fv8,crates.io,tremor-script,https://github.com/tremor-rs/tremor-runtime
GHSA-q2x5-6q7q-r872,crates.io,tremor-script,https://github.com/tremor-rs/tremor-runtime
