id,package_ecosystem,package_name,github_repo
GHSA-vj3f-3286-r4pf,Go,github.com/docker/docker,https://github.com/docker/docker
GHSA-fh74-hm69-rqjw,Go,github.com/opencontainers/runc/libcontainer,https://github.com/opencontainers/runc
GHSA-5v95-v8c8-3rh6,Go,github.com/google/exposure-notifications-verification-server,https://github.com/google/exposure-notifications-verification-server
GHSA-58pf-pcwv-qg85,Go,github.com/u-root/u-root,https://github.com/u-root/u-root
GHSA-rmh2-65xw-9m6q,Go,github.com/buger/jsonparser,https://github.com/buger/jsonparser
GHSA-58v3-j75h-xr49,Go,github.com/seccomp/libseccomp-golang,https://github.com/seccomp/libseccomp-golang
GHSA-rffr-c932-cpxv,Go,github.com/goharbor/harbor,https://github.com/goharbor/harbor
GHSA-44r7-7p62-q3fr,Go,github.com/miekg/dns,https://github.com/miekg/dns
GHSA-h746-rm5q-8mgq,Go,github.com/spiffe/spire/pkg/server/endpoints/node,https://github.com/spiffe/spire
GHSA-wjm3-fq3r-5x46,Go,github.com/tidwall/gjson,https://github.com/tidwall/gjson
GHSA-jm56-5h66-w453,Go,helm.sh/helm/v3,https://github.com/helm/helm
GHSA-w4x5-jqq4-qc8x,Go,github.com/goharbor/harbor,https://github.com/goharbor/harbor
GHSA-23jv-v6qj-3fhh,Go,github.com/hashicorp/consul/agent/consul,https://github.com/hashicorp/consul
GHSA-35vc-w93w-75c2,Go,github.com/pomerium/pomerium,https://github.com/pomerium/pomerium
GHSA-q547-gmf8-8jr7,Go,github.com/russellhaering/goxmldsig,https://github.com/russellhaering/goxmldsig
GHSA-3wxm-m9m4-cprj,Go,github.com/google/exposure-notifications-server,https://github.com/google/exposure-notifications-server
GHSA-x5c7-x7m2-rhmf,Go,go.mozilla.org/sops/v3,https://github.com/mozilla/sops
GHSA-gwj5-3vfq-q992,Go,github.com/nats-io/nats-server/v2,https://github.com/nats-io/nats-server
GHSA-4g52-pqcj-phvh,Go,github.com/filecoin-project/lotus,https://github.com/filecoin-project/lotus
GHSA-h74j-692g-48mq,Go,github.com/mholt/archiver/cmd/arc,https://github.com/mholt/archiver
GHSA-fv82-r8qv-ch4v,Go,github.com/pomerium/pomerium,https://github.com/pomerium/pomerium
GHSA-7gcp-w6ww-2xv9,Go,github.com/sylabs/singularity,https://github.com/sylabs/singularity
GHSA-465w-gg5p-85c9,Go,github.com/kiali/kiali,https://github.com/kiali/kiali
GHSA-hmm9-r2m2-qg9w,Go,github.com/nats-io/nats-server/v2,https://github.com/nats-io/nats-server
GHSA-m898-h4pm-pqfr,Go,github.com/MichaelMure/git-bug,https://github.com/MichaelMure/git-bug
GHSA-64rh-r86q-75ff,Go,github.com/kiali/kiali,https://github.com/kiali/kiali
GHSA-77gc-fj98-665h,Go,gopkg.in/square/go-jose.v1,https://github.com/square/go-jose
GHSA-4mf2-f3wh-gvf2,Go,github.com/oauth2-proxy/oauth2-proxy/v7,https://github.com/oauth2-proxy/oauth2-proxy
