id,package_ecosystem,package_name,github_repo
GHSA-q3jg-4c82-j4xh,Maven,org.springframework.credhub:spring-credhub-core,https://github.com/spring-projects/spring-credhub
GHSA-r2pp-x4mm-4999,Maven,org.neo4j.procedure:apoc,http://github.com/neo4j-contrib/neo4j-apoc-procedures
GHSA-2m8h-fgr8-2q9w,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-g8hw-794c-4j9g,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-xv6v-72hh-g6g2,Maven,org.owasp.antisamy:antisamy,https://github.com/nahsra/antisamy
GHSA-p5hg-3xm3-gcjg,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-qh3m-qw6v-qvhg,Maven,io.vertx:vertx-core,https://github.com/eclipse/vert.x
GHSA-6v7w-535j-rq5m,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-f26x-pr96-vw86,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-4487-x383-qpph,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-c8xf-m4ff-jcxj,Maven,org.bouncycastle:bcprov-jdk14,https://github.com/bcgit/bc-java
GHSA-45vg-2v73-vm62,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-w4g2-9hj6-5472,Maven,org.springframework.amqp:spring-amqp,https://github.com/spring-projects/spring-amqp
GHSA-m9jm-rhrm-gcxj,Maven,org.springframework.integration:spring-integration-zip,https://github.com/spring-projects/spring-integration-extensions
GHSA-9qgc-p27w-3hjg,Maven,com.typesafe.akka:akka-http-core_2.12,https://github.com/akka/akka-http
GHSA-8crv-49fr-2h6j,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-2j2x-hx4g-2gf4,Maven,org.bouncycastle:bcprov-jdk14,https://github.com/bcgit/bc-java
GHSA-9gcm-f4x3-8jpw,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-mm57-9j6q-rxm2,Maven,com.typesafe.akka:akka-actor_2.12,https://github.com/akka/akka
GHSA-m929-7fr6-cvjg,Maven,org.springframework.data:spring-data-commons,https://github.com/spring-projects/spring-data-commons
GHSA-rcpf-vj53-7h2m,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-v596-fwhq-8x48,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-xqj7-j8j5-f2xr,Maven,org.bouncycastle:bcprov-jdk14,https://github.com/bcgit/bc-java
GHSA-6cw8-7j6c-hccp,Maven,io.vertx:vertx-core,https://github.com/eclipse/vert.x
GHSA-3rmv-2pg5-xvqj,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-5q8m-mqmx-pxp9,Maven,org.springframework.data:spring-data-commons,https://github.com/spring-projects/spring-data-commons
GHSA-mr95-9rr4-668f,Maven,com.typesafe.akka:akka-actor_2.11,https://github.com/akka/akka
GHSA-cxrj-66c5-9fmh,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-xx65-cc7g-9pfp,Maven,org.springframework.boot:spring-boot,https://github.com/spring-projects/spring-boot
GHSA-gfx6-ph4q-q54q,Maven,com.typesafe.akka:akka-http-core_2.12,https://github.com/akka/akka-http
GHSA-9gp4-qrff-c648,Maven,org.bouncycastle:bcprov-jdk14,https://github.com/bcgit/bc-java
GHSA-2p6p-v69p-9mm9,Maven,org.opencms:opencms-core,https://github.com/alkacon/opencms-core
GHSA-fxp8-7h5w-h235,Maven,org.opencms:opencms-core,https://github.com/alkacon/opencms-core
GHSA-7qqr-3pj3-q2f5,Maven,org.opencms:opencms-core,https://github.com/alkacon/opencms-core
GHSA-54mg-vgrp-mwx9,Maven,io.ratpack:ratpack-session,https://github.com/ratpack/ratpack
GHSA-4x49-w62v-76q7,Maven,org.springframework.cloud:spring-cloud-config-server,https://github.com/spring-cloud/spring-cloud-config/spring-cloud-config-server
GHSA-wg37-7mrv-cfwm,Maven,org.apache.jmeter:ApacheJMeter,https://github.com/apache/jmeter
GHSA-24r8-fm9r-cpj2,Maven,com.linecorp.armeria:armeria,https://github.com/line/armeria
GHSA-35fr-h7jr-hh86,Maven,com.linecorp.armeria:armeria,https://github.com/line/armeria
GHSA-v33x-prhc-gph5,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-p426-qw2p-v95v,Maven,org.apache.geode:geode-core,https://github.com/apache/geode
GHSA-3wc8-659g-r88q,Maven,org.springframework.batch:spring-batch-core,https://github.com/spring-projects/spring-batch
GHSA-wr5r-m8pc-85j9,Maven,org.springframework.integration:spring-integration-xml,https://github.com/spring-projects/spring-integration
GHSA-vx85-mj8c-4qm6,Maven,org.apache.thrift:libthrift,https://github.com/apache/thrift
GHSA-8222-6fc8-mhvf,Maven,org.springframework.ws:spring-ws,https://github.com/spring-projects/spring-ws
GHSA-rcj2-vvjx-87pm,Maven,io.arrow-kt:arrow-ank-gradle,https://github.com/arrow-kt/arrow/
GHSA-q2xp-75m7-gv52,Maven,net.sf.robocode:robocode.api,https://github.com/robo-code/robocode
GHSA-v2r2-7qm7-jj6v,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-84p2-vf58-xhxv,Maven,com.mchange:c3p0,https://github.com/swaldman/c3p0
GHSA-2mh8-gx2m-mr75,Maven,org.bouncycastle:bcprov-jdk14,https://github.com/bcgit/bc-java
GHSA-j52r-xc68-q8f4,Maven,io.projectreactor.netty:reactor-netty,https://github.com/reactor/reactor-netty
GHSA-66q9-f7ff-mmx6,Maven,org.http4s:http4s-server_2.12,https://github.com/http4s/http4s
GHSA-v35c-49j6-q8hq,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-p9j6-4pjr-gp48,Maven,net.sf.mpxj:mpxj,https://github.com/joniles/mpxj
GHSA-wmfg-55f9-j8hq,Maven,com.browserup:browserup-proxy,https://github.com/browserup/browserup-proxy
GHSA-vjv6-gq77-3mjw,Maven,org.mapfish.print:print-lib,https://github.com/mapfish/mapfish-print
GHSA-w534-q4xf-h5v2,Maven,org.mapfish.print:print-lib,https://github.com/mapfish/mapfish-print
GHSA-48rw-j489-928m,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-2ppp-9496-p23q,Maven,org.springframework.security:spring-security-core,https://github.com/spring-projects/spring-security
GHSA-ffvq-7w96-97p7,Maven,org.springframework:spring-core,https://github.com/spring-projects/spring-framework
GHSA-v62j-fcxq-j239,Maven,org.apache.atlas:apache-atlas,https://github.com/apache/atlas
GHSA-7pm4-g2qj-j85x,Maven,org.springframework:spring-webmvc,https://github.com/spring-projects/spring-framework
GHSA-w29m-fjp4-qhmq,Maven,org.opencastproject:base,https://github.com/opencast/opencast/
GHSA-r2wf-q3x4-hrv9,Maven,io.ratpack:ratpack-core,https://github.com/ratpack/ratpack
GHSA-xrr9-rh8p-433v,Maven,io.ktor:ktor-client-cio,https://github.com/ktorio/ktor
GHSA-8wx2-9q48-vm9r,Maven,org.springframework:spring-webmvc,https://github.com/spring-projects/spring-framework
GHSA-763g-fqq7-48wg,Maven,com.puppycrawl.tools:checkstyle,https://github.com/checkstyle/checkstyle
GHSA-w8rc-pgxq-x2cj,Maven,com.shopizer:sm-core-model,https://github.com/shopizer-ecommerce/shopizer-sm-core-model
GHSA-xwgq-pcqx-hpmv,Maven,io.ktor:ktor-client-core,https://github.com/ktorio/ktor
GHSA-c4rh-4376-gff4,Maven,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,http://github.com/awslabs/aws-iot-device-sdk-java-v2/tree/main
GHSA-gx3f-hq7p-8fxv,Maven,org.springframework.cloud:spring-cloud-netflix-hystrix-dashboard,https://github.com/spring-cloud/spring-cloud-netflix/spring-cloud-netflix-hystrix-dashboard
GHSA-2r2v-q399-qq93,Maven,org.springframework.cloud:spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway
GHSA-94jq-q5v2-76wj,Maven,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,http://github.com/awslabs/aws-iot-device-sdk-java-v2/tree/main
GHSA-j3f7-7rmc-6wqj,Maven,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,http://github.com/awslabs/aws-iot-device-sdk-java-v2/tree/main
GHSA-743r-5g92-5vgf,Maven,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,http://github.com/awslabs/aws-iot-device-sdk-java-v2/tree/main
GHSA-8rf5-92jh-3vc9,Maven,com.mikesamuel:json-sanitizer,https://github.com/OWASP/json-sanitizer
