id,package_ecosystem,package_name,github_repo
GHSA-g996-q5r8-w7g2,Packagist,symfony/symfony,https://github.com/symfony/symfony
GHSA-pwrf-q7h8-jjr7,Packagist,bagisto/bagisto,https://github.com/bagisto/bagisto
GHSA-427g-2r83-3ccm,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-62fx-3v4f-mwxm,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-xv69-f7x5-r4qw,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-6268-v434-45m5,Packagist,getgrav/grav,https://github.com/getgrav/grav
GHSA-h7qw-mxrm-c6h2,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-jvx5-rm6q-gx7p,Packagist,silverstripe/framework,https://github.com/silverstripe/silverstripe-framework
GHSA-pqm6-cgwr-x6pf,Packagist,robrichards/xmlseclibs,https://github.com/robrichards/xmlseclibs
GHSA-vvwv-h69m-wg6f,Packagist,phpoffice/phpspreadsheet,https://github.com/PHPOffice/PhpSpreadsheet
GHSA-68wg-qv6r-j4vp,Packagist,usmanhalalit/pixie,https://github.com/usmanhalalit/pixie
GHSA-mr6r-82x4-f4jj,Packagist,simplito/elliptic-php,https://github.com/simplito/elliptic-php
GHSA-xm6j-x342-gwq9,Packagist,symbiote/silverstripe-versionedfiles,https://github.com/symbiote/silverstripe-versionedfiles
GHSA-3q5x-7mxp-rp6j,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-cj8p-53v9-2c26,Packagist,bolt/bolt,https://github.com/bolt/bolt
GHSA-cg8j-8w52-735v,Packagist,silverstripe/framework,https://github.com/silverstripe/silverstripe-framework
GHSA-89ch-hqf9-rgp3,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-fm68-89m8-4gjj,Packagist,magento/community-edition,https://github.com/magento/magento2
GHSA-w7r7-r8r9-vrg2,Packagist,silverstripe/framework,https://github.com/silverstripe/silverstripe-framework
GHSA-6r58-4xgr-gm6m,Packagist,silverstripe/framework,https://github.com/silverstripe/silverstripe-framework
GHSA-6rmq-x2hv-vxpp,Packagist,drupal/drupal,https://github.com/drupal/drupal
GHSA-3r8j-pmch-5j2h,Packagist,sylius/sylius,https://github.com/Sylius/Sylius
GHSA-fpff-384j-vxq7,Packagist,pimcore/pimcore,https://github.com/pimcore/pimcore
GHSA-x92h-wmg2-6hp7,Packagist,symfony/http-foundation,https://github.com/symfony/http-foundation
GHSA-xhh6-956q-4q69,Packagist,symfony/http-foundation,https://github.com/symfony/http-foundation
GHSA-79gr-58r3-pwm3,Packagist,symfony/cache,https://github.com/symfony/cache
GHSA-4vpc-5jx4-cfqg,Packagist,symfony/security-http,https://github.com/symfony/security-http
GHSA-qhrx-hcm6-pmrw,Packagist,cakephp/cakephp,https://github.com/cakephp/cakephp
GHSA-wjx8-cgrm-hh8p,Packagist,contao/core-bundle,https://github.com/contao/core-bundle
GHSA-rfh8-25h9-mhgf,Packagist,yii2mod/yii2-cms,https://github.com/yii2mod/yii2-cms
GHSA-w5r2-gvgf-mpm8,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-r336-jxfr-4c3c,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-v3f6-f29f-rgvp,Packagist,drupal/core,https://github.com/drupal/core
GHSA-g9xh-3w5g-229r,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-974j-wjxx-wggj,Packagist,api-platform/core,https://github.com/api-platform/core
GHSA-277v-gwfr-hmpj,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-f4hh-xxqh-wgpq,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-878x-85hc-gc4g,Packagist,librenms/librenms,https://github.com/librenms/librenms
GHSA-q9cp-mc96-m4w2,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-954j-f27r-cj52,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-fx3v-553x-3c4q,Packagist,october/backend,https://github.com/octoberrain/backend
GHSA-hpjm-3ww5-6cpf,Packagist,typo3fluid/fluid,https://github.com/TYPO3/Fluid
GHSA-r89v-cgv7-3jhx,Packagist,october/cms,https://github.com/octoberrain/cms
GHSA-28fw-88hq-6jmm,Packagist,shopware/shopware,https://github.com/shopware/shopware
GHSA-wpww-4jf4-4hx8,Packagist,baserproject/basercms,https://github.com/baserproject/basercms
GHSA-58w4-w77w-qv3w,Packagist,prestashop/productcomments,https://github.com/PrestaShop/productcomments
GHSA-6gv9-7q4g-pmvm,Packagist,shopware/shopware,https://github.com/shopware/shopware
GHSA-8jq6-w5cg-wm45,Packagist,pocketmine/pocketmine-mp,https://github.com/pmmp/PocketMine-MP
GHSA-hrfh-fp4x-crrq,Packagist,shopware/shopware,https://github.com/shopware/shopware
GHSA-347x-877p-hcwx,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-43gj-mj2w-wh46,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-4j77-gg36-9864,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-59cf-m7v5-wh5w,Packagist,t3g/svg-sanitizer,https://github.com/TYPO3GmbH/svg_sanitizer
GHSA-pqg8-crx9-g8m4,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-5vf7-q87h-pg6w,Packagist,ssddanbrown/bookstack,https://github.com/ssddanbrown/BookStack
GHSA-2rxh-h6h9-qrqc,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-px8v-hxxx-2rgh,Packagist,barrelstrength/sprout-base-email,https://github.com/barrelstrength/craft-sprout-base-email
GHSA-2wj9-434x-9hvp,Packagist,typo3/cms-core,https://github.com/TYPO3-CMS/core
GHSA-4x5h-cr29-fhp6,Packagist,phpmailer/phpmailer,https://github.com/PHPMailer/PHPMailer
GHSA-g9rq-x4fj-f5hx,Packagist,ssddanbrown/bookstack,https://github.com/ssddanbrown/BookStack
GHSA-738m-f33v-qc2r,Packagist,phpmailer/phpmailer,https://github.com/PHPMailer/PHPMailer
GHSA-g4m9-5hpf-hx72,Packagist,symfony/security,https://github.com/symfony/security
GHSA-58mj-pw57-4vm2,Packagist,phpmailer/phpmailer,https://github.com/PHPMailer/PHPMailer
GHSA-5f37-gxvh-23v6,Packagist,phpmailer/phpmailer,https://github.com/PHPMailer/PHPMailer
GHSA-m884-279h-32v2,Packagist,symfony/http-foundation,https://github.com/symfony/http-foundation
