id,package_ecosystem,package_name,github_repo
GHSA-c2fx-8r76-gh36,PyPI,python-gnupg,https://github.com/vsajip/python-gnupg
GHSA-vcr5-xr9h-mvc5,PyPI,python-gnupg,https://github.com/vsajip/python-gnupg
GHSA-2jc8-4r6g-282j,PyPI,python-gnupg,https://github.com/vsajip/python-gnupg
GHSA-xp5m-4c9f-498q,PyPI,django-epiceditor,https://github.com/barraq/django-epiceditor
GHSA-2p78-8hh6-96xc,PyPI,feedparser,https://github.com/kurtmckee/feedparser
GHSA-qc55-vm3j-74gp,PyPI,jsnapy,http://www.github.com/Juniper/jsnapy
GHSA-3jqw-crqj-w8qw,PyPI,django,https://github.com/django/django
GHSA-pq3x-96c3-xgjg,PyPI,Products.PlonePAS,https://github.com/plone/Products.PlonePAS
GHSA-hjf3-r7gw-9rwg,PyPI,feedparser,https://github.com/kurtmckee/feedparser
GHSA-6h52-4vmh-8x4f,PyPI,feedparser,https://github.com/kurtmckee/feedparser
GHSA-4m72-rmm9-2qjr,PyPI,feedparser,https://github.com/kurtmckee/feedparser
GHSA-7g9h-c88w-r7h2,PyPI,django,https://github.com/django/django
GHSA-fcf9-3qw3-gxmj,PyPI,cryptography,https://github.com/pyca/cryptography
GHSA-5j2h-h5hg-3wf8,PyPI,django,https://github.com/django/django
GHSA-5hg3-6c2f-f3wr,PyPI,django,https://github.com/django/django
GHSA-6mx3-3vqg-hpp2,PyPI,django,https://github.com/django/django
GHSA-9ggp-4jpr-7ppj,PyPI,rpyc,https://github.com/tomerfiliba-org/rpyc
GHSA-89px-ww3j-g2mm,PyPI,wagtail-2fa,https://github.com/LabD/wagtail-2fa
GHSA-f58w-649r-qjr9,PyPI,splunk-sdk,http://github.com/splunk/splunk-sdk-python
GHSA-2fch-jvg5-crf6,PyPI,python-gnupg,https://github.com/vsajip/python-gnupg
GHSA-pg2f-r7pc-6fxx,PyPI,django-crm,https://github.com/MicroPyramid/Django-CRM.git
GHSA-3c45-wgjp-7v9r,PyPI,twisted,https://github.com/twisted/twisted
GHSA-hvmf-r92r-27hr,PyPI,django,https://github.com/django/django
GHSA-7xxv-wpxj-mx5v,PyPI,typed-ast,https://github.com/python/typed_ast
GHSA-m5ff-3wj3-8ph4,PyPI,waitress,https://github.com/Pylons/waitress
GHSA-2mrj-435v-c2cr,PyPI,ecdsa,http://github.com/tlsfuzzer/python-ecdsa
GHSA-m3jw-62m7-jjcm,PyPI,typed-ast,https://github.com/python/typed_ast
GHSA-j9m2-6hq2-4r3c,PyPI,invenio-previewer,https://github.com/inveniosoftware/invenio-previewer
GHSA-j8j8-348v-wfm3,PyPI,python-saml,https://github.com/SAML-Toolkits/python-saml
GHSA-h92m-42h4-82f6,PyPI,postfix-mta-sts-resolver,https://github.com/Snawoot/postfix-mta-sts-resolver
GHSA-ffq8-576r-v26g,PyPI,hpack,https://github.com/python-hyper/hpack
GHSA-6c7v-2f49-8h26,PyPI,django,https://github.com/django/django
GHSA-h582-2pch-3xv3,PyPI,django,https://github.com/django/django
GHSA-mfv8-q39f-mgfg,PyPI,invenio-communities,https://github.com/inveniosoftware/invenio-communities
GHSA-22mf-97vh-x8rw,PyPI,parso,https://github.com/davidhalter/parso
GHSA-6cc5-2vg4-cc7m,PyPI,twisted,https://github.com/twisted/twisted
GHSA-7rp2-fm2h-wchj,PyPI,django,https://github.com/django/django
GHSA-37hp-765x-j95x,PyPI,django,https://github.com/django/django
GHSA-mh24-7wvg-v88g,PyPI,pypiserver,https://github.com/pypiserver/pypiserver
GHSA-9r8w-6x8c-6jr9,PyPI,django,https://github.com/django/django
GHSA-337x-4q8g-prc5,PyPI,django,https://github.com/django/django
GHSA-38rv-5jqc-m2cv,PyPI,recurly,https://github.com/recurly/recurly-client-python
GHSA-2f9x-5v75-3qv4,PyPI,django,https://github.com/django/django
