id,package_ecosystem,package_name,github_repo
GHSA-g4xq-jx4w-4cjv,RubyGems,loofah,https://github.com/flavorjones/loofah
GHSA-hg78-4f6x-99wq,RubyGems,rack,https://github.com/rack/rack
GHSA-5r2p-j47h-mhpg,RubyGems,rack,https://github.com/rack/rack
GHSA-w7q9-xr2x-wh7x,RubyGems,delayed_job_web,https://github.com/ejschmitt/delayed_job_web
GHSA-vqcm-7f7f-r539,RubyGems,brbackup,https://github.com/tongueroo/brbackup
GHSA-pxr8-w3jq-rcwj,RubyGems,rails_admin,https://github.com/sferik/rails_admin
GHSA-6wpv-cj6x-v3jw,RubyGems,http,https://github.com/httprb/http
GHSA-pcm6-g2qp-9gw8,RubyGems,cap-strap,https://github.com/substantial/cap-strap
GHSA-23v3-qfrj-wmgh,RubyGems,actionpack,https://github.com/rails/rails
GHSA-qf5x-qgx7-437h,RubyGems,actionpack,https://github.com/rails/rails
GHSA-35c4-f3rq-f9g3,RubyGems,activesupport,https://github.com/rails/rails
GHSA-m53f-rhq8-q6hf,RubyGems,actionpack,https://github.com/rails/rails
GHSA-77pc-q5q7-qg9h,RubyGems,rails-html-sanitizer,https://github.com/rails/rails-html-sanitizer
GHSA-544j-77x9-h938,RubyGems,actionpack,https://github.com/rails/rails
GHSA-6834-r92f-jj42,RubyGems,actionview,https://github.com/rails/rails
GHSA-9vc2-p34x-jhxh,RubyGems,rack,https://github.com/rack/rack
GHSA-mrhj-2g4v-39qx,RubyGems,rails-html-sanitizer,https://github.com/rails/rails-html-sanitizer
GHSA-7phj-gmgx-2r66,RubyGems,activerecord,https://github.com/rails/rails
GHSA-jxjr-5h69-qw3w,RubyGems,nokogiri,https://github.com/sparklemotion/nokogiri
GHSA-7mvr-5x2g-wfc8,RubyGems,bootstrap,https://github.com/twbs/bootstrap-rubygem
GHSA-qc8j-m8j3-rjq6,RubyGems,rails-html-sanitizer,https://github.com/rails/rails-html-sanitizer
GHSA-vwfg-qj3r-6v3r,RubyGems,actionpack,https://github.com/rails/rails
GHSA-7hp2-xwpj-95jq,RubyGems,nokogiri,https://github.com/sparklemotion/nokogiri
GHSA-5xmj-wm96-fmw8,RubyGems,actionpack,https://github.com/rails/rails
GHSA-7rr7-rcjw-56vj,RubyGems,activestorage,https://github.com/rails/rails
GHSA-q2qw-rmrh-vv42,RubyGems,activejob,https://github.com/rails/rails
GHSA-2xvj-j3qh-x8c3,RubyGems,private_address_check,https://github.com/jtdowney/private_address_check
GHSA-gp82-xr77-88f4,RubyGems,radiant,https://github.com/radiant/radiant
GHSA-6fcq-3cm2-j3j5,RubyGems,kcapifony,https://github.com/Kunstmaan/kCapifony
GHSA-pf6m-fxpq-fg8v,RubyGems,nokogiri,https://github.com/sparklemotion/nokogiri
GHSA-g982-9r8g-6qxw,RubyGems,ciborg,https://github.com/pivotal/ciborg
GHSA-3q5q-f79q-7hr2,RubyGems,rubyzip,https://github.com/rubyzip/rubyzip
GHSA-rhgq-vv9x-j4p5,RubyGems,lawn-login,https://github.com/Oompa/lawn-login
GHSA-5jcf-c5rg-rmm8,RubyGems,paperclip,https://github.com/thoughtbot/paperclip
GHSA-6x45-86q6-rcmr,RubyGems,gyazo,https://github.com/gyazo/gyazo-ruby
GHSA-px3r-jm9g-c8w8,RubyGems,rails-html-sanitizer,https://github.com/rails/rails-html-sanitizer
GHSA-882p-jqgm-f45g,RubyGems,nokogiri,https://github.com/sparklemotion/nokogiri
GHSA-f599-5m7p-hcpf,RubyGems,grape,https://github.com/ruby-grape/grape
GHSA-pxqr-8v54-m2hj,RubyGems,rails_admin,https://github.com/sferik/rails_admin
GHSA-hm48-76wh-q86v,RubyGems,activerecord,https://github.com/rails/rails
GHSA-m8h6-m9p5-p2f8,RubyGems,activerecord,https://github.com/rails/rails
